code,h_price,l_price,price,time,volume
017670,"252,000","245,000","252,000",,"339,786"
code,h_price,l_price,price,time,volume
017670,"252,000","245,000","252,000",,"339,819"
code,h_price,l_price,price,time,volume
017670,"252,000","245,000","252,000",,"339,819"
code,h_price,l_price,price,time,volume
017670,"252,000","245,000","252,000",,"339,819"
code,h_price,l_price,price,time,volume
017670,"252,000","245,000","252,000",,"339,819"
